지점,지점명,일시,일강수량(mm)
90,속초,2019-06-15,21.7
90,속초,2019-06-16,0.6
90,속초,2019-06-18,3.2
90,속초,2019-06-19,8.2
90,속초,2019-06-21,0.3
90,속초,2019-06-23,0.9
90,속초,2019-06-24,0.1
90,속초,2019-06-26,0.0
90,속초,2019-06-27,0.0
90,속초,2019-06-28,2.3
90,속초,2019-06-29,3.9
90,속초,2019-06-30,0.0
90,속초,2019-07-07,0.8
90,속초,2019-07-08,4.4
90,속초,2019-07-09,0.0
90,속초,2019-07-10,26.1
90,속초,2019-07-11,92.5
90,속초,2019-07-14,0.0
90,속초,2019-07-15,15.5
90,속초,2019-07-16,4.5
90,속초,2019-07-17,0.0
90,속초,2019-07-19,0.0
90,속초,2019-07-20,13.1
90,속초,2019-07-21,5.0
90,속초,2019-07-24,0.0
90,속초,2019-07-25,2.0
90,속초,2019-07-26,61.1
90,속초,2019-07-28,7.8
90,속초,2019-07-30,1.6
90,속초,2019-07-31,0.0
90,속초,2019-08-01,0.3
90,속초,2019-08-07,58.0
90,속초,2019-08-09,0.0
90,속초,2019-08-10,0.0
90,속초,2019-08-11,0.0
90,속초,2019-08-12,2.3
90,속초,2019-08-15,203.7
90,속초,2019-08-16,3.5
90,속초,2019-08-20,0.8
90,속초,2019-08-21,0.4
90,속초,2019-08-25,24.2
90,속초,2019-08-27,0.0
90,속초,2019-08-29,0.3
90,속초,2019-09-03,1.4
90,속초,2019-09-04,29.3
90,속초,2019-09-05,41.1
90,속초,2019-09-06,0.7
90,속초,2019-09-07,0.0
90,속초,2019-09-09,0.4
90,속초,2019-09-10,50.4
90,속초,2019-09-11,27.1
90,속초,2019-09-12,0.0
90,속초,2019-09-15,0.0
90,속초,2019-09-22,58.8
90,속초,2019-09-23,0.7
90,속초,2019-10-02,23.1
90,속초,2019-10-03,78.8
90,속초,2019-10-05,46.4
90,속초,2019-10-07,0.0
90,속초,2019-10-14,23.8
90,속초,2019-10-15,12.7
90,속초,2019-10-18,0.6
90,속초,2019-10-19,0.0
90,속초,2019-10-24,0.1
90,속초,2019-11-03,0.8
90,속초,2019-11-07,0.6
90,속초,2019-11-09,2.4
90,속초,2019-11-13,0.0
90,속초,2019-11-17,13.2
90,속초,2019-11-18,7.4
90,속초,2019-11-24,8.0
90,속초,2019-11-25,71.1
90,속초,2019-11-27,25.4
90,속초,2019-11-28,28.4
90,속초,2019-12-01,0.0
90,속초,2019-12-02,0.0
90,속초,2019-12-10,0.0
90,속초,2019-12-11,0.0
90,속초,2019-12-13,0.0
90,속초,2019-12-14,0.0
90,속초,2019-12-16,0.0
90,속초,2019-12-17,0.0
90,속초,2019-12-18,9.8
90,속초,2019-12-23,0.0
90,속초,2020-01-06,0.0
90,속초,2020-01-07,58.6
90,속초,2020-01-08,37.2
90,속초,2020-01-17,12.0
90,속초,2020-01-18,15.3
90,속초,2020-01-24,7.0
90,속초,2020-01-26,6.9
90,속초,2020-01-29,0.6
90,속초,2020-01-30,10.1
90,속초,2020-01-31,0.4
90,속초,2020-02-08,2.6
90,속초,2020-02-12,2.0
90,속초,2020-02-13,0.0
90,속초,2020-02-15,1.5
90,속초,2020-02-16,6.1
90,속초,2020-02-21,0.0
90,속초,2020-02-22,0.0
90,속초,2020-02-25,24.1
90,속초,2020-02-26,17.5
90,속초,2020-02-27,2.0
90,속초,2020-03-01,1.3
90,속초,2020-03-02,0.6
90,속초,2020-03-03,0.0
90,속초,2020-03-10,20.7
90,속초,2020-03-13,0.0
90,속초,2020-03-14,0.0
90,속초,2020-03-15,3.4
